Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM1380046,0,0,0.12561577690434,0.0909677500119017,0,0.191682953607058,0,0,0,0,0.0971124801544038,0.0221997544348837,0.172054055852955,0.0514285269881298,0,0.132116482852413,0,0,0.115234375505867,0,0.00158784368804896,0,0.942,-0.0284268257292443,1.08895358236483
GSM1380047,0.234996304505892,0,0.0767368485967023,0.134236767776191,0.0391025344847684,0,0,0,0.0963654923988642,0,0,0.044967737524689,0.167388423222896,0.00021852579016296,0,0.151349678989888,0,0.00437813317216874,0.0502595535377781,0,0,0,0.942,-0.0286643700894694,1.11215408134644
GSM1380048,0.187223396882669,0,0.0968622490133206,0.120657547140983,0,0.192438865363125,0,0,0,0,0,0.121443552575689,0.125725776430944,0,0,0.0863062332826457,0,0.0125635536975402,0.0399087181626667,0,0.0168701074504175,0,0.53,0.029875573232358,1.09472030380859
GSM1380049,0.228435509657644,0,0.14008153049921,0.214111338049747,0,0.0675979419656573,0.00757869948444361,0,0.0119817188851083,0,0,0.052329286745169,0.142951055734449,0,0,0.0677852438828363,0,0.0245028575334989,0.0426448175622372,0,0,0,0.621,0.0185983410013958,1.11026133886994
GSM1380050,0.00279218889323412,0,0.1608249947649,0.173275352981685,0,0.0768803934825833,0,0,0,0,0,0.113858716414891,0.190519686885267,0.0181969557693338,0,0.138809473702867,0,0,0.12484223710524,0,0,0,0.927,-0.0256707883444487,1.09936908324372
GSM1380051,0.197300464907856,0,0.119650814471702,0.13007237876823,0,0.0816668449952172,0,0,0.0217050747249328,0,0,0.0647381161256701,0.0843833845156004,0,0.000188788080877407,0.176042595497388,0,0.00941442880460297,0.114837109107923,0,0,0,0.176,0.0850338518979816,1.06116269359757
GSM1380052,0,0,0.139780906528369,0.101766682753542,0,0.0795882248393651,0,0,0.0261074762658161,0,0,0.127686084579144,0.11932269449076,0.0598042730677153,0,0.126888477749503,0,0.0429696205907524,0.176085559135033,0,0,0,0.886,-0.0170247989938766,1.08815040297041
GSM1380053,0,0,0.0773327894615384,0.0171623337699609,0,0.205508562086905,0,0,0.065501672103821,0,0.0292503224581705,0.107817887617558,0.156246734494695,0.0250844591360949,0.0203962651811208,0.163388165922944,0,0,0.132310807767191,0,0,0,0.886,-0.017097933590792,1.08456189901345
GSM1380054,0.100089988878527,0,0.0924197970406749,0.165853727069778,0.041552932008333,0.040265386257899,0,0,0.0441180349024559,0,0.0683472599918827,0.0511523691703527,0.139506022359988,0,0.00470893209946441,0.131516278554047,0,0,0.120469271666597,0,0,0,0.952,-0.0312559843538111,1.09783658866398
GSM1380055,0.13110612590337,0,0.0962424972296342,0.135535621967617,0.0119268175818087,0,0,0,0.0871078979061096,0,0.0201055362280818,0.0367950410903718,0.171018024407116,0.00403148530927317,0,0.0660972588934182,0,0.0367568792649213,0.203276814218277,0,0,0,0.898,-0.0193918072459294,1.09081166559506
